Keyword,Volume,KD,CPC,Macro Category,Category,Product Type,Topic,User Intent,Intent,Is Brand,Content Type,Funnel,Est. Traffic,Est. Value,oofos.com: Position,kanefootwear.com: Position,hoka.com: Position,kurufootwear.com: Position,aetrex.com: Position,orthofeet.com: Position,velousfootwear.com: Position,reef.com: Position,olukai.com: Position
best nursing shoes,5400,3,0.49,Apparel,Footwear,Nursing Shoe,Nursing Shoe,Find best nursing shoes,Commercial,FALSE,Blog Post,Consideration,1728,846.72,58,,2,48,,49,,,
comfortable slides,5400,9,0.56,Apparel,Footwear,Slide,Slide,Find comfortable slides,Commercial,FALSE,Blog Post,Consideration,1728,967.6800000000001,14,,,,,,,21,4
women slides,5300,4,0.38,Apparel,Footwear,Slide,Slide,Find women's slides,Transactional,FALSE,Product Page,Conversion,1526,579.88,40,,53,,,,,49,76
oofos flip flops,5200,5,0.21,Apparel,Footwear,Flip Flop,Flip Flop,Find Oofos flip flops,Transactional,TRUE,Product Page,Conversion,2097,440.37,1,,,,,,,,97
slipper shoes,5100,12,0.5,Apparel,Footwear,Slipper,Slipper,Find slipper shoes,Transactional,FALSE,Product Page,Conversion,1469,734.5,56,,,52,,35,,,9
fur slippers,5000,1,0.44,Apparel,Footwear,Slipper,Slipper,Find fur slippers,Transactional,FALSE,Product Page,Conversion,1440,633.6,32,,,,,,,,33
oofos women,5000,2,0.29,Apparel,Footwear,Women's Footwear,Oofo,Find Oofos women's products,Navigational,TRUE,Homepage,Retention,2240,649.5999999999999,1,,,,,,,,94
womens slip on shoes,5000,2,0.29,Apparel,Footwear,Slip-on Shoe,Slip-on Shoe,Find women's slip-on shoes,Transactional,FALSE,Product Page,Conversion,1440,417.59999999999997,64,,,63,,76,,,15
oofos shoes near me,4900,2,0.24,Apparel,Footwear,Footwear,Oofo,Find Oofos shoes nearby,Navigational,TRUE,Homepage,Retention,2195,526.8,2,,,,,106,,,66
house slippers for men,4900,8,0.45,Apparel,Footwear,Slipper,Slipper,Find house slippers for men,Transactional,FALSE,Product Page,Conversion,1411,634.95,12,,,39,,43,,57,3
oc tennis shoes,4900,14,0.26,Apparel,Footwear,Athletic Shoe,On Cloud Shoe,Find On Cloud tennis shoes,Transactional,TRUE,Product Page,Conversion,1976,513.76,53,,61,,,,,,87
slippers men,4900,9,0.47,Apparel,Footwear,Slipper,Slipper,Find men's slippers,Transactional,FALSE,Product Page,Conversion,1411,663.17,30,,,36,,61,,,17
vionic slippers for women,4900,0,0.23,Apparel,Footwear,Slipper,Slipper,Find Vionic slippers for women,Transactional,TRUE,Product Page,Conversion,1976,454.48,49,,,,,66,,,
non slip shoes near me,4800,2,0.28,Apparel,Footwear,Non-slip Shoe,Non-slip Shoe,Find non-slip shoes nearby,Navigational,FALSE,Homepage,Retention,1536,430.08000000000004,38,,81,71,,,,,
feet shoes,4800,64,0.66,Apparel,Footwear,Shoe,Shoe,Find shoes,Transactional,FALSE,Product Page,Conversion,1382,912.12,19,,62,,42,11,,,
on cloud shoes nearby,4800,26,0.31,Apparel,Footwear,Athletic Shoe,On Cloud Shoe,Find On Cloud shoes nearby,Navigational,TRUE,Homepage,Retention,2150,666.5,41,,56,,,,,,
platform sandals for women,4800,1,0.27,Apparel,Footwear,Platform Sandal,Platform Sandal,Find platform sandals for women,Transactional,FALSE,Product Page,Conversion,1382,373.14000000000004,66,,103,,,,,8,67
recovery slides,4800,5,0.65,Apparel,Footwear,Recovery Slide,Recovery Slide,Find recovery slides,Transactional,FALSE,Product Page,Conversion,1382,898.3000000000001,4,44,11,,66,,,,
vionic sneakers,4700,1,0.22,Apparel,Footwear,Sneaker,Sneaker,Find Vionic sneakers,Transactional,TRUE,Product Page,Conversion,1895,416.9,67,,,,,89,,,
water shoes near me,4600,2,0.25,Apparel,Footwear,Water Shoe,Water Shoe,Find water shoes nearby,Navigational,FALSE,Homepage,Retention,1472,368,32,3,,,,58,,,30
online shoe stores,4600,92,0.4,Apparel,Footwear,Footwear,Shoe Store,Find online shoe stores,Commercial,FALSE,Blog Post,Consideration,1472,588.8000000000001,97,,83,,,,,,
black foam runners,4600,2,0.26,Apparel,Footwear,Running Shoe,Foam Runner,Find black foam runners,Transactional,FALSE,Product Page,Conversion,1325,344.5,41,87,89,,,,,,
happy returns locations,4600,8,0.03,Service,Retail Service,Return,Happy Returns Location,Find Happy Returns locations,Navigational,TRUE,Homepage,Retention,2061,61.83,46,,,,,71,,,
womens walking shoes,4500,7,0.31,Apparel,Footwear,Walking Shoe,Walking Shoe,Find women's walking shoes,Transactional,FALSE,Product Page,Conversion,1296,401.76,68,,19,75,,58,,,
platform flip flops,4500,0,0.42,Apparel,Footwear,Platform Flip Flop,Platform Flip Flop,Find platform flip flops,Transactional,FALSE,Product Page,Conversion,1296,544.3199999999999,34,,96,,,,,25,
most comfortable walking shoes,4500,22,0.28,Apparel,Footwear,Walking Shoe,Walking Shoe,Find most comfortable walking shoes,Commercial,FALSE,Blog Post,Consideration,1440,403.20000000000005,95,,10,,,42,,,
women's sandals,4500,22,0.28,Apparel,Footwear,Sandal,Sandal,Find women's sandals,Transactional,FALSE,Product Page,Conversion,1296,362.88000000000005,75,,78,,72,,,2,7
shoe slippers,4400,4,0.41,Apparel,Footwear,Slipper,Slipper,Find shoe slippers,Transactional,FALSE,Product Page,Conversion,1267,519.4699999999999,21,,,40,,56,,,32
best slides for men,4400,3,0.3,Apparel,Footwear,Slide,Slide,Find best slides for men,Commercial,FALSE,Blog Post,Consideration,1408,422.4,2,,,,,,,22,5
waterproof sneakers women,4400,0,0.46,Apparel,Footwear,Sneaker,Sneaker,Find women's waterproof sneakers,Transactional,FALSE,Product Page,Conversion,1267,582.82,97,,107,,,,,,65
mens flip flops,4300,5,0.47,Apparel,Footwear,Flip Flop,Flip Flop,Find men's flip flops,Transactional,FALSE,Product Page,Conversion,1238,581.86,79,,91,,,,,2,4
shop shoes near me,4300,74,0.25,Apparel,Footwear,Footwear,Shoe Store,Find shoe stores nearby,Navigational,FALSE,Homepage,Retention,1376,344,83,,,,,,,107,
pink shoes for women,4200,0,0.24,Apparel,Footwear,Shoe,Shoe,Find pink shoes for women,Transactional,FALSE,Product Page,Conversion,1210,290.4,74,,43,7,,,,,
ladies slippers,4200,6,0.25,Apparel,Footwear,Slipper,Slipper,Find ladies slippers,Transactional,FALSE,Product Page,Conversion,1210,302.5,46,,,85,,62,,,5
oofos for men,4100,3,0.34,Apparel,Footwear,Men's Footwear,Oofo,Find Oofos for men,Navigational,TRUE,Homepage,Retention,1837,624.58,1,,,,,,,,87
nursing shoes for women,4100,4,0.52,Apparel,Footwear,Nursing Shoe,Nursing Shoe,Find nursing shoes for women,Transactional,FALSE,Product Page,Conversion,1181,614.12,53,,2,58,,56,,,
nonslip shoes,4100,2,0.41,Apparel,Footwear,Non-slip Shoe,Non-slip Shoe,Find non-slip shoes,Transactional,FALSE,Product Page,Conversion,1181,484.21,78,,,64,,67,,,
womens mules,4100,2,0.26,Apparel,Footwear,Mule,Mule,Find women's mules,Transactional,FALSE,Product Page,Conversion,1181,307.06,65,,,,,,,,80
women's work shoes,4100,3,0.36,Apparel,Footwear,Work Shoe,Work Shoe,Find women's work shoes,Transactional,FALSE,Product Page,Conversion,1181,425.15999999999997,96,,53,,,,,,
shoes for standing all day,4000,4,0.52,Apparel,Footwear,Comfort Shoe,Comfort Shoe,Find shoes for standing all day,Commercial,FALSE,Blog Post,Consideration,1280,665.6,32,29,24,17,,8,,,
on cloud waterproof shoes,4000,0,0.52,Apparel,Footwear,Running Shoe,Running Shoe,Find On Cloud waterproof shoes,Transactional,TRUE,Product Page,Conversion,1613,838.76,68,,85,,,,,,
dsw shoes near me,4000,13,0.04,Apparel,Footwear,Retailer,Shoe,Find DSW stores,Navigational,TRUE,Homepage,Retention,1792,71.68,73,,44,,,,,,
